accession,SMILES
BGC0001464,Brc1[nH]c(Br)c(Br)c1Br
BGC0000892,C#CC#CC#CC#CC=CC=CC(O)CCCCC(=O)O
BGC0002804,C#CC#CC#CC#CC=CCCCCCCCC(=O)O
BGC0001897,C#CC#CC=C=CC1OC1C(O)C=CC1CCC(=O)O1
BGC0001994,C#CC(O)C(N)C(=O)O
BGC0002296,C#CCCCC(=CCl)CCC(C)C=CCCC(=O)N(C)C(Cc1ccc(OC)cc1)C(=O)OC
BGC0002290,C=C(C)C#CC1=CC(O)C2OC2(CC=C(C)C)C1O
BGC0002244,C=C(C)C(O)C(O)c1ccc2c(c1OC)C(=O)OCc1cc(C)cc(O)c1O2
BGC0001010,C=C(C)C1=NC(c2nc(C=CC(OC)C(C)C(=CC(=O)OC)OC)cs2)CS1
BGC0001997,C=C(C)C1CC=C2C(O)CC(O)C(C)C2(C)C1
BGC0002610,C=C(C)C1CCC2(C)C1CCC1(C)CC=C(C(=O)O)CCC=C(C)CCC12
BGC0002339,C=C(C)C1CCC2(C)CC(O)CC(C)(Nc3ncnc4c3ncn4C3OC(CO)C(O)C3O)C2C1
BGC0001317,C=C(C)C1CCC2(C)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12
BGC0001201,C=C(C)C1CCC2=CCCC(C)C2(C)C1
BGC0001974,C=C(C)C1CNC(C(=O)O)C1C(=O)O
BGC0001375,C=C(C)C1OC2CCC3(C)C4(C)c5[nH]c6cc(Cl)c7c8c6c5C(OC(C)(C)C5CC(C(=C)C7)C85O)C4CCC3(O)C23OC3C1O
BGC0000372,C=C(C)C=Cc1cccc2c(Cc3c(OC)nc(C)c(=O)n3[O][Fe]([O]n3c(Cc4c[nH]c5c(C=CC(=C)C)cccc45)c(OC)nc(C)c3=O)[O]n3c(Cc4c[nH]c5c(C=CC(=C)C)cccc45)c(OC)nc(C)c3=O)c[nH]c12
BGC0002119,C=C(C)CC(C)=CC(=O)NC=CC(C)=CC(C)C1CC(C)=CC=CCCC(OC(N)=O)C(O)C=CC(O)CCCC=CC(=O)O1
BGC0000345,C=C(C)CC(NC(=O)C(CO)NC(=O)CCCCC(C)C)C(=O)C1(CO)CO1
BGC0001202,C=C(C)CC(NC(=O)C(NC(=O)CC(C)C)C(C)O)C(=O)C1CO1
BGC0001110,C=C(C)CC(OC)C(O)C(=O)NC(OC)C1CC(O)C(C)(C)C(CC(O)C(C)C2Cc3c(C)c(O)cc(O)c3C(=O)O2)O1
BGC0001286,C=C(CC(=O)O)C(=O)O
BGC0000954,C=C(CC=CC=CCCC=CCN(C)C(=O)C=C(C)OC)c1nc(CC(C)C2OC(=O)c3c(ccc(C)c3O)C2O)co1
BGC0002403,C=C(CCC)CC(=C)CCC
BGC0001339,C=C(CCC12CC(OC(=O)C=CC(C)CC(C)CC)C(C(=O)O)(O1)C(O)(C(=O)O)C(C(=O)O)O2)C(OC(C)=O)C(C)Cc1ccccc1
BGC0001099,C=C(CCC=CC=CCC(C)CC(=O)CC(O)CNC(=O)C(C)C(C)OC(N)=O)CC(C)CC(C)=CC(=O)O
BGC0000329,C=C(N=C(O)C(N=C(O)C(N=C(O)C(CCO)N=C(O)C(=CC)N=C(O)C(N=C(O)C(N=C(O)C(C)N=C(O)C(C)N=C(O)C(C)N=C(O)C1CCCN1C(=O)C(=CC)N=C(O)CC(O)CCCCCCC)C(C)C)C(C)C)C(C)C)C(C)CC)C(O)=NC(C)C(O)=NC(C)C(O)=NC(C)C(O)=NC(C(O)=NC(=CC)C(O)=NC1C(O)=NC(C)C(O)=NC(CCN)C(O)=NC(CO)C(O)=NC(C(C)CC)C(=O)OC1C)C(C)C
BGC0001640,C=C(NC(=O)C(=C)NC(=O)C1CCCN1C(=O)C(C)NC(=O)C(=C)NC(=O)c1csc(-c2ccc3c(n2)-c2csc(n2)-c2csc(n2)C2CCCN2C(=O)C(Cc2ccc(O)cc2)NC(=O)C2CSC(=N2)C(Cc2ccccc2)NC(=O)c2csc(n2)C(CC(N)=O)NC(=O)c2nc-3oc2C)n1)C(N)=O
BGC0002363,C=C(NC(=O)C(=C)NC(=O)c1ccc(-c2nc(C(=O)NC(C(N)=O)C(C)O)cs2)c(-c2coc(C(=C)NC(=O)C(=C)NC(=O)c3nc(C(=C)NC(=O)C(NC(=O)C(=C)NC(=O)c4nc(C(=O)CC)oc4C)C(C)(C)O)oc3C)n2)n1)C(N)=O
