Cluster,True SMILES
Abyssomicin.FASTA,CC1CC(C)C(=O)C2=C3OC4C(C)CC3(OC2=O)C(C=CC1=O)C4O
Acidobactin_Cluster.fasta,CC1CC(=O)NC(CCCN(O)C=O)C(O)CC(=O)NC(C(C)O)C(=O)NC(CCCNO)C(=O)NC(CO)C(=O)NC(C(O)C(=O)O)C(=O)O1
actinonin_BGC0001442.fasta,CCCCCC(CC(=O)NO)C(=O)NC(C(=O)N1CCCC1CO)C(C)C
Actiphenol.fasta,Cc1cc(C)c(O)c(C(=O)CC2CC(=O)NC(=O)C2)c1
Aerobactin_partial.fasta,CC(=O)N(O)CCCCC(NC(=O)CC(O)(CC(=O)NC(CCCCN(O)C(C)=O)C(=O)O)C(=O)O)C(=O)O
Aeruginosin102.FASTA,N=C(N)N1CCCC(NC(=O)C2CC3CCC(O)CC3N2C(=O)C(Cc2ccc(O)cc2)NC(=O)C(O)Cc2ccc(OS(=O)(=O)O)cc2)C1O
Aeruginosin686.FASTA,N=C(N)N1CCCC(NC(=O)C2CC3CCC(O)CC3N2C(=O)C(Cc2ccc(O)cc2)NC(=O)C(O)Cc2ccc(OS(=O)(=O)O)cc2)C1O
ambiguine.fasta,[C-]#[N+]C1C2c3c(C(C)(C)C=C)[nH]c4cccc(c34)C(C)(C)C2CC(Cl)C1(C)C=C
anabaenopeptilide.FASTA,CCC(C)C1NC(=O)C(Cc2ccc(OC)c(Cl)c2)N(C)C(=O)C(C(C)O)N2C(=O)C(CCC2O)NC(=O)C(CCc2ccc(O)cc2)NC(=O)C(NC(=O)C(CCC(N)=O)NC=O)C(C)OC1=O
azalomycin_F.fasta,CC1=CC=CC(C)C(O)CC(O)C(C)C(O)CCC(C)C(O)CC2(O)OC(CC(OC(=O)CC(=O)O)CCCC(O)CC(O)C(C)=CC=CC(C)C(C(C)CCCC=CCCCNC(=N)N)OC1=O)CC(O)C2O
BGC0000362.fasta,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(O)CC(=O)NC(Cc1ccccc1)C(=O)NC(C(=O)NC(C)C(=O)NC(C)COC1OC(C)C(OC)C(OC)C1O)C(C)OC1OC(C)C(O)C(O)C1OC1OC(C)C(O)C(OC2OC3COC(C)(C(=O)O)OC3C(OC)C2O)C1O
